Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
3448,MLR MOTORS PVT LTD,0,7,0,0,"2,015",659,0,0,0,0,89,28,2,1,0,0,0,"2,801"
3449,M M ASSOCIATES,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
3450,M M ENGINEERING WORKS,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,26
3451,M M PUMPS AND SPARES,0,1,0,0,0,1,0,2,0,0,"1,090",9,1,4,0,0,0,"1,108"
3452,M M TRAILERS,0,0,0,0,0,0,0,0,0,0,7,12,1,0,0,0,0,20
3453,M/M UTILITY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3454,MOBILE CRANE,0,1,0,0,0,0,0,1,0,0,4,1,0,2,1,0,1,11
3455,MOCORNIA INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3456,MODEL FIN.AND COMMUNICAT,0,1,0,0,0,0,0,0,0,0,5,157,0,0,0,0,1,164
3457,MODEL MECHANISMS,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4
3458,MODERN  AGRO  INDUSTRIES,0,0,0,0,0,1,0,1,1,0,206,47,0,1,0,0,0,257
3459,MODERN ENGINEERING CORPORATION,0,3,0,0,0,0,0,4,0,0,311,111,0,2,0,0,0,431
3460,MODERN FARM INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,259,0,0,14,0,0,273
3461,MODERN INDUSTRIES,0,5,0,0,0,0,0,13,2,0,57,"1,351",1,3,3,0,4,"1,439"
3462,MODERN WELDINGS WORKS,0,0,0,0,0,0,0,1,2,0,6,768,0,1,877,0,0,"1,655"
3463,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,53
3464,MODLINE ASSOCIATES PVT LTD,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27
3465,MODULAR CHASSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3466,MOGAL ENGINEERING WORKS,0,0,0,0,0,0,0,3,0,0,82,2,0,3,0,0,0,90
3467,MOGAL WELDING WORKS,0,0,0,0,0,0,0,0,0,0,110,0,0,9,0,0,0,119
3468,MOHABIR INDUSTRIES,0,2,0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,33
3469,MOHAMMAD  STEEL WORKS,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33
3470,MOHAMMED RURAL ENG WORKS,0,5,0,0,0,0,0,0,0,0,73,66,0,0,0,0,0,144
3471,MOHAN EARTH MOVIERS LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3472,"MOHAN ENGINEERING WORKS, SAMBALPUR",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3473,MOHAN ENGINEERING WORKS SAMBALPUR SINDURPANK,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
3474,MOHAN GENERAL ENGINEERING WORK,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,34
3475,MOHAN GENERAL TRADING COMPANY,0,1,0,0,0,311,0,0,0,0,0,4,0,0,0,0,0,316
3476,MOHAN MECHANICAL WORKS,0,0,0,0,0,0,0,0,0,0,30,318,0,0,6,0,0,354
3477,MOHINDRA ENGINEERING WORKS,0,1,0,0,0,1,0,0,0,0,1,15,2,0,0,0,15,35
3478,MOHIT ENTERPRISES,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9
3479,MOHIT INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,16
3480,MOMAI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,23
3481,MOMI ENGINEERING WORKS,0,0,0,0,0,0,0,1,0,0,1,29,0,0,1,0,2,34
3482,MOMU AUTOMOTIVE,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,906
3483,MONA GREEN AUTOMOBILES PVT LTD,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,69
3484,MONA MOTORS,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30
3485,MONARCH TECHNO ENGINEERING SOLUTIONS,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12
3486,MONAWWAR FABRICATORS,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,802
3487,MONDAL ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,528
3488,MONDAL ENGINEERING WORKSHOP,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3489,MONDAL TRADING,0,4,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,673
3490,MONKU AGRO TECH PVT LTD,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
3491,MONTAGO SIPANI LTD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3492,MONTO MOTORS LTD.,0,"4,594",0,0,4,9,0,7,0,0,57,215,19,4,2,1,18,"4,930"
3493,MONU ENGINEERING,0,2,0,0,0,0,0,1,0,0,143,3,0,0,1,0,0,150
3494,MOODY INTERNATIONAL PVT LTD,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,9
3495,MOON AGRICULTURE & FABRICATION WORKS,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,18
3496,MOORTHY TAILERS,0,0,0,0,0,0,0,1,0,0,12,32,1,0,2,0,0,48
3497,MOPEDS INDIA LTD              ,0,"11,160",0,0,0,4,0,1,0,0,12,59,10,0,0,0,4,"11,250"
3498,MOR AND COMPANY,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23
3499,MORDEN AGRO IND.BANSWADA,0,0,0,0,0,0,0,1,0,0,172,0,0,0,0,0,0,173
3500,MORGAN MOTOR COMPANY,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
3501,MORGAN MOTOR COMPANY (IMPORTER: REGALIA LUXURY),0,0,0,0,0,0,0,0,0,0,0,71,0,0,131,0,0,202
3502,MORRIS MOTORS LTD,0,310,1,0,0,0,0,5,1,0,15,"1,532",9,0,2,0,3,"1,878"
3503,MORYA AGRICULTURAL IMPLIMENTS,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34
3504,MOSAM TRAILOR,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,91
3505,MOTO GUZZI,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3506,MOTOR CYCLE,0,310,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,486
3507,MOTOR & GENERAL SALES LTD.,0,2,0,0,0,3,0,2,0,0,16,4,0,3,0,0,0,30
3508,MOTOR & GENERAL SALES PVT LTD,0,86,0,0,0,140,0,0,0,0,1,15,1,0,0,0,0,243
3509,MOTOR GRADER,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
3510,MOTOROYALE KINETIC PRIVATE LIMITED,0,107,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,116
3511,MOTOVOLT MOBILITY PVT LTD,0,995,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,145"
3512,MOTRAC MOTORS PVT LTD,0,22,0,0,0,494,0,0,0,0,2,1,0,0,0,0,0,519
3513,MOULALI ENGINEERING,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,0,15
3514,MOUNESHWAR ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,3,45
3515,MOUNT MACHINARY WORKS,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
3516,MOURYA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,79
3517,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,"10,378",0,0,0,0,0,0,0,0,0,0,0,"10,378"
3518,MOZAMI ENTERPRISES,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
3519,MP STATE AGRO IND LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3520,M R ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,143,15,0,0,0,0,1,159
3521,M.R.KRISHI YANTRA,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,40
3522,MRUGYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
3523,M S AGRO INDUSTRIES,0,2,0,0,0,0,0,0,0,0,220,30,1,0,33,0,260,546
3524,M.S. AGRO INDUSTRIES,0,55,0,0,0,31,0,3,4,0,293,441,0,7,26,0,259,"1,119"
3525,"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,0,0,0,0,0,0,0,0,175,2,0,0,1,0,1,179
3526,"M/S AKRITI,BAMRA",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
3527,M/S. A.K.S. GEN. & AGRL. INDUSTRIES AP178700921,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
3528,M/S AMARNATH ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7
3529,MS ANUP ENTERPRISES TRAILER SNG,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
3530,M/S ASHOKA INDUSTRIES,0,2,0,0,0,0,0,2,2,1,149,4,0,1,0,1,1,163
3531,M/S BALAJI AUTO ENG WORKS,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32
3532,M/S BHANSALI AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
3533,M/S BHANSALI TRAILERS P LTD,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
3534,M/S BHARAT TRAILER AND AGRO WORKS,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,7
3535,M/S BHARAT TRAILERS,0,3,0,0,0,0,0,6,7,0,66,738,0,3,3,0,0,826
3536,M/S CHAITANYA AGROS INDUSTRY AP312714372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3537,M/S CHAMPION POLY PLAST,0,4,0,0,0,"4,420",0,0,0,0,16,2,0,0,0,0,0,"4,442"
3538,M/S CHAND BABA ENGINEERING WORKS AP117954371,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8
3539,"M/S CHUDHURY ENGG. WORKS,BAMRA,SAMBALPUR",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3540,M/S DAS ENGINEERING WORKSHOP,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,21
3541,M/S DASHMESH TRADERS,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,11,37
3542,M/S. DAVE EXIM (P) LTD.,0,2,0,0,2,27,0,9,0,0,2,0,0,0,0,0,0,42
3543,"M.S.ENG.WORKS, NIMAPADA",0,5,0,0,0,2,0,1,0,0,100,6,0,1,0,0,3,118
3544,M/S FAMOUS FABRICATORS,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11
3545,"M/S FARMAX EQUIPMENTS, SAMBALPUR",0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,17
3546,MS GANGA STEEL INDUSTRIES,0,0,0,0,0,0,0,0,0,0,172,1,0,0,0,0,0,173
3547,M/S GENERAL MOTORS LLC,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
3548,M.S.G. INDUSTRIES,0,0,0,0,0,0,0,2,0,0,79,244,0,5,0,0,0,330
3549,M/S GOWRI ENGINEERING WORKS AP29073406,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3550,"M/S. GURUMAN ENTERPRISES, BHAWANIPATNA",0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,38
3551,M/S HARITKRANTI AGRO UDYOG,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,62
3552,M/S HARSHA AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
3553,M/S HOTA AGRO (TRAILER),0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,36
3554,M/S HOTA AGRO (WATER TANKER),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
3555,M/S HOVEL CYLINDER PVT LTD,0,2,0,0,0,549,0,0,0,0,13,3,0,0,0,0,1,568
3556,MSI INDUSTRIES,0,7,0,0,0,3,0,0,0,1,11,141,0,3,0,0,0,166
3557,M S INDUSTRIAL ASSOCIATION,0,0,0,0,0,0,0,0,0,0,71,33,0,0,0,0,2,106
3558,M/S IRA INDUSTRIES,0,1,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,13
3559,M/SJAIGURUSAISUGUNAENGINEERINGWORKSAP213033195,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
3560,M/S JASRAJ AUTO AGENCY,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17
3561,M/S JAVED STEEL INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
3562,M/S JEREH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3563,M/S J.K. ENGINEERS,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
3564, M/S KAILASH ENGINEERING WORKS JUNAGARH ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3565,M/S KANTAK SYSTEMS,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,1,7
3566,M/S KASTKAR AGRO INDUSTRIES,0,0,0,0,0,1,0,0,1,0,3,509,0,0,1,0,0,515
3567,M/S K.G.N ENGINEERING TRAILER WORKS AP312711345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3568,M/S KISHAN TRACTOR,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
3569,M/S K K AGRO INDUSTRIES,0,2,0,0,0,0,0,0,0,0,7,253,0,0,0,0,0,262
3570,M/S KRISHNA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3571,M/S LAKSHMI ENGINEERING WORKS,0,2,0,0,0,0,0,1,1,0,8,283,0,0,37,0,0,332
3572,M/S LEENA AGRO INDUSTRIES (INDIA) PVT LTD.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3573,M/S LOHIYA AGRO INDUSTRIES,0,2,0,0,0,1,0,0,1,0,1,173,0,0,1,0,0,179
3574,M.S.LTD.,0,33,0,0,0,0,0,1,0,1,12,112,2,0,0,0,1,162
3575,M/S MAA MAJHIGHARIANI INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3576,MS MAA MANGALA ENTERPRISES TRAILER SNG,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
3577,M/S MAA MANGALA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,439,7,0,1,1,0,0,448
3578,M/S MAA MOTORS WORKS,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,171
3579,M/S MAA MOTORS WORKSHOP,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,175
3580,M/S MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3581,M/S NANDI ENGINEERING WORKS,0,0,0,0,0,4,0,0,0,0,15,2,0,0,0,0,0,21
3582,M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7
3583,M/S NELATARA FABRICATION,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
3584,M/S NEW SHETKARI ENGINEERING WORK,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,326
3585,M/S NEW SHIV SHAKTI TRAILORS,0,0,0,0,0,0,0,0,2,0,40,82,0,0,238,0,0,362
3586,M/S. PALLAVI INDUSTRIES,0,1,0,0,0,0,0,0,0,0,2,24,1,0,0,0,0,28
3587,MS PATEL INDUSTRIES JHARSUGUDA PURUNABASTI,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
3588,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,1,40
3589,"M/S PERFECT ENGINEERING WORKS, KURNOOL AP118154376",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6
3590,"M/S PERFECT TECHNOCRAFTS & ENGINEERING,KENDRAPARA",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
3591,M/S POWER TECH TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,10,5,1,0,0,0,1,17
3592,M/S PRADHAN AGRO ENGINEERING,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,1,20
3593,M/S PRASAD ENTERPRISES & ENGINEERING AP514554130,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,10
3594,M/S RAM AGRO MACHINARY,0,0,0,0,0,0,0,1,0,0,12,182,0,3,0,0,1,199
3595,M/S R.K. ENGINEERING WORKS,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,12
3596,M/S ROYAL AGRO ENGINEERING,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
3597,MS SAHU INDUSTRIES TRAILER KORAPUT JEYPORE,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,53
3598,MS SAI AGRO INDUSTRIES KORAPUT JEYPORE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3599,M/S SAI AGRO MECHINERY,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
3600,M/S SAI AUTO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,34,18,0,1,0,0,0,53
3601,M/S SAI KRISHNA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3602,M/S. SANJUKTA AGRO MART,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,38
3603,M/S SARANGI MOTROS,0,0,0,0,0,2,0,0,0,0,458,2,0,0,1,0,0,463
3604,M/S SARMA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
3605,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,0,2,0,0,0,3,0,76,94,0,1,62,0,44,180,0,"4,607","5,069"
3606,M/S-SHRADHA INDUSTRIES,0,0,0,0,0,1,0,0,0,0,83,4,0,2,2,0,0,92
3607,M/S SHREE SHYAM AGRO PRODUCTS,0,1,0,0,0,1,0,0,0,0,15,3,0,0,0,0,0,20
3608,M/S SHRI DATTA WELDING WORKS,0,0,0,0,0,0,0,0,0,0,1,60,0,0,4,0,0,65
3609,M/S SHRIRAM AUTO TECH PVT LTD,0,1,0,0,2,"18,724",0,1,0,0,22,8,0,1,1,0,143,"18,903"
3610,M/S SHUBHADA ENTERPRISE,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,22
3611,M/S SICHUAN HONGHUA PETROLEUM EQUIPMENT CO.LTD,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3
3612,"M/S.SOURAV ENTERPRISES,BHAWANIPATNA",0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,29
3613,M/S SREE PRASANNA DURGA TRAILER WORKS AP315793453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3614,M/S SREE SARAVANABAVA AGRO INDUSTRIES AP313373321,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3615,M/SSREESIDDIVINAYAKAENGINEERINGWORKSAP60060002025,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,10
3616,"M/S. S. R. ENTERPRISES,JAIPATNA",0,0,0,0,0,0,0,0,0,0,55,3,0,0,0,0,0,58
3617,M/S SRI BALAJI ENGINEERING WORKS ANTPR AP29073183,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
3618,M/S SRI BALAKRISHNA FOUNDRY&MECH WORKS AP178701111,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
3619,M/S SRI CHENGALAMMA TAILOR WORKS AP1514052990,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
3620,M/S SRI DURGA BHAVANI ENGG WORKS AP213154001,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
3621,M/S SRI DURGA VENKATESWARA ENGG WORKS AP193673337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3622,M/S SRI GANAPATHI ENGINEERING WORKS AP313253058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3623,M/S SRI KANAKA DURGA ENGINEERING WORKS AP514553897,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
3624,M/S SRI KUMAR AGRO INDUSTRIES AP118163489,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6
3625,"M/S SRI LAKSHMI GANAPATHI ENG WORKS,EG AP514553750",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
3626,M/S.SRI LAKSHMI MOTORS & ENGG WORKS AP213192229,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,7
3627,M/S SRI LAKSHMI NARYANA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3628,M/S SRI LAKSHMI SRINIVASA STEELS AP1514223752,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
3629,M/S SRI LAKSHMI VENKATESWARA ENGG WORKS AP29070732,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
3630,M/S SRI MARUTHI WELDING WORKS KADAPA AP49943745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3631,M/S SRINIVASA ENGINEERING WORKS AP29073331,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,9
3632,M/S SRI PYDITALLAMMA AGR FABRICATIONS AP203573386,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
3633,MS SRI SAI AGRICULTURAL EQUIPMENTS KORAPUT JEYPORE,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,141
3634,M/S SRI SAI SUDHA ENGINEERING WORKS AP235531849,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,9
3635,M/S SRI SANKAR REDDY ENGINEERING WORKS AP151377386,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,11
3636,M/S SRI SATYANARAYANA AGRO INDUSTRIES AP203573232,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3637,M/S SRI SATYANARAYANA ENGINEERING W AP203571420,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
3638,M/S SRISHTI AUTOMOBILES,0,1,0,0,0,7,0,0,6,0,9,18,0,0,1,0,0,42
3639,M/S SRI SIDDHI VINAYAKA ENGINEERING WORKS AP203574,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
3640,M/S SRI VARASIDDI VINAYAKA ENGG WORKS AP514554278,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
3641,M/S SRI VENKATA RAMA ENGG WORKSHOP AP67331352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3642,M/S SRI VENKATA RAMANA AGRO INDUSTRIES AP178354373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3643,M/S SRI VENKATA SAI DURGA ENGG WORKS AP203583296,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
3644,M/S SRI VENKATA SIVA SAI AGRO IND AP178393275,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8
3645,M/S SRI VENKATESWARA ENGINEERING WORKS AP67321364,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8
3646,M/S S R K TRAILER WORKS AP312573381,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5
3647,"M/S SRT TRAILOR WORKS,CHITTOOR AP313364198",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8
3648,M/S S.S. AGRO INDUSTRIES,0,1,0,0,0,0,0,0,0,0,8,31,0,0,1,0,1,42
3649,M/S S. SHAREEF ENGINEERING WORK SHOP AP117790841,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
3650,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,0,0,0,1,0,0,0,0,502,9,0,0,0,0,0,512
3651,M/S SUPERIOR MANUFACTURING COMPANY,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,1,199
3652,M/S TIRUMALA ENGINEERING WORKS AP46060032024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3653,M S TRANSPORT SERVICES,0,2,0,0,0,0,0,2,0,0,5,28,0,0,0,0,1,38
3654,M/S TRISHIKA INDUSTRIES,0,0,0,0,0,4,0,0,0,0,2,15,0,0,0,0,0,21
3655,M/S UMA INDUSTRY ANANTHAPUR AP29073329,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6
3656,M/S UNITY MOTOR BODY,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
3657,M/S USMAN ENGINEERING WORKS AP117954387,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
3658,"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0,0,57
3659,M/S VENKATESWARA ENGINEERING WORKS AP56463007,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
3660,M/S.VIJAYA ENGINEERING WORKS AP213191445,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
3661,M/S VISAKHA AGRO INDUSTRIES AP203484007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3662,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,3,0,0,2,113,0,0,0,0,5,3,0,0,0,0,0,126
3663,M/ S V S T SHAKTHI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3664,M/S YOGIRAJ ENGINEERING COMPANY,0,2,0,0,0,0,0,0,1,0,33,19,0,1,0,0,0,56
3665,M/S YOSHITHA TRAILERS AP312873726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3666,M T W ENG WORKS LTD,0,10,0,0,0,0,0,0,0,0,61,6,0,0,0,0,0,77
3667,M. T. W. LTD.,0,902,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,905
3668,MUBHARAK GENERAL ENGG WORKS,0,4,0,0,0,0,0,0,0,0,5,99,0,0,0,0,0,108
3669,MUKESH IRON WORKS DHAND,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,18
3670,MUKUL ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3671,MULAG,0,0,0,0,0,0,0,0,0,0,0,12,1,0,41,0,1,55
3672,MULCHAND MOHANDAS PATEL,0,0,0,0,0,0,0,0,0,0,178,1,0,0,0,0,0,179
3673,MULGUND BROTHERS AGRO IND,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0,0,47
