Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
138,AKAL AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,72,76
139,AKASH AGRO INDUSTRIES,0,77,0,0,0,2,0,37,1,1,975,340,0,23,25,0,12,"1,493"
140,AKASH ENGG WORKS,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,16
141,AKASH EQUIPMENTS & MACHINERIES (P) LTD.,0,0,0,0,0,2,0,6,4,0,3,6,1,4,5,0,16,47
142,AKASH KRISHI YANTRA,0,0,0,0,0,0,0,0,1,0,2,11,1,0,3,0,40,58
143,AKASH TRACTOR,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
144,AKASH TRAILERS AND FAB.WOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
145,AKASH TRAILOR,0,2,0,0,0,1,0,13,22,0,"1,132",362,3,7,26,0,0,"1,568"
146,A.K.AUTO ELECTRICAL,0,3,0,0,0,39,0,1,0,0,6,3,0,0,0,0,1,53
147,A K AUTTO ELECTRICAL,0,1,0,0,0,227,0,1,0,0,2,2,0,0,0,0,7,240
148,A. K. AUTTO ELECTRICAL,0,0,0,0,0,15,0,1,0,0,2,2,0,0,0,0,1,21
149,AKEM IND,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
150,A K ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,19,54,0,0,2,0,0,75
151,"A K G A, BIRUR",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
152,AKG INTERNATIONAL,0,0,0,0,0,"3,407",0,0,0,0,0,0,0,0,0,0,0,"3,407"
153,A K GUPTA & CO.,0,1,0,0,0,"3,839",0,1,0,0,1,2,1,1,0,0,1,"3,847"
154,AKKI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,405,221,0,0,0,0,0,626
155,AKMAAN MULTI MECH MACHINES,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,11
156,A K MISTRY AND SONS KISHAN,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,9
157,A K S ENG AGRO INDUSTRIES,0,0,0,0,0,0,0,0,1,0,1,398,0,0,0,0,0,400
158,AKSHAR AGRI TECH,0,2,0,0,0,0,0,0,0,0,7,12,0,0,0,0,2,23
159,AKSHAR AGRO INDUSTRIES,0,0,0,0,0,0,0,1,0,0,235,24,0,0,0,0,1,261
160,AKSHAR AGRO LNDUSTRIES,0,1,0,0,0,0,0,0,1,0,11,24,0,0,1,0,2,40
161,AKSHAR ENGNEERING WORKS,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,366
162,AKSHAR STEEL,0,0,0,0,0,1,0,1,1,0,92,8,0,0,4,0,1,108
163,AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
164,AKSHAY AGRO AGENCIES,0,0,0,0,0,0,0,0,0,0,14,47,0,0,0,0,0,61
165,AKSHAYA TRAILERS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
166,AKSHAY INDUSTRIES,0,0,0,0,0,3,0,1,0,0,17,39,0,0,1,0,0,61
167,AKSMD RECHARGEABLE VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,4
168,A K VISHWA KARMA,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
169,ALAM ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,174
170,ALAM TRACTOR TRAILORS,0,1,0,0,0,0,0,0,0,0,2,66,0,0,0,0,0,69
171,ALAWAR AUTO IND.BABRA,0,2,0,0,0,126,0,0,0,0,23,0,0,0,0,0,0,151
172,ALBEDO VISION PVT LTD,0,0,0,0,0,96,0,0,0,0,4,0,0,1,1,0,0,102
173,ALCO LTD,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
174,ALFA MOTORS,0,9,0,0,0,46,0,14,0,3,34,49,4,2,0,0,0,161
175,ALIED E MOBILITY PVT LTD,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,242
176,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,394,0,0,1,0,1,0,0,0,0,0,0,396
177,ALLFINE INDUSTRIES PVT LTD,0,3,0,0,4,"33,534",0,1,1,0,16,4,0,0,0,0,99,"33,662"
178,ALLIED ENGINEERS,0,2,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,17
179,ALL TERRAIN CRANE,0,0,0,0,0,0,0,10,"2,305",0,2,34,0,5,237,0,"2,796","5,389"
180,ALLWYN PUSHPAK SCOOTERS,0,64,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,118
181,ALOK ENG. WORKS,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,85
182,ALPHA ROMEO,0,53,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,60
183,ALPHA SERVICES,0,6,0,0,0,1,0,10,47,1,35,15,2,1,13,0,74,205
184,ALTAF  ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,65
185,ALTIER ELECTRIC VEHICLES PVT LTD,0,5,0,0,0,"9,374",0,0,0,0,1,0,0,0,0,0,49,"9,429"
186,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,"4,491",0,0,0,0,15,0,0,0,0,0,0,"4,506"
187,ALTIUS EV TECH PVT LTD,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
188,ALTIUS TECHNOLOGIES,0,0,0,0,0,222,0,2,0,0,4,0,1,0,1,0,4,234
189,ALVI AUTO,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,160
190,AL-ZAHOOR  CO,0,2,0,0,0,6,0,1,1,0,0,0,0,0,0,0,1,11
191,AMAC INNOVATIVES,0,0,0,0,0,0,0,4,8,0,1,5,0,0,0,0,12,30
192,AMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,3,1,0,"3,953",211,3,0,4,0,24,"4,199"
193,AMAN AUTOMOBILES,0,7,0,0,1,377,0,5,0,0,11,13,0,6,0,0,2,422
194,AMAN ELECTRIC VEHICLES,0,0,0,0,0,"1,415",0,1,0,0,4,1,0,0,0,0,0,"1,421"
195,AMAN ENTERPRISES BHPATNA,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,87
196,AMAR AGRO IND LTD,0,0,0,0,0,9,0,15,0,0,"1,983",99,1,18,0,0,41,"2,166"
197,AMAR AGRO SALES,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,10,21
198,AMAR COACH BUILDERS,0,22,0,0,0,1,0,0,0,0,3,5,0,0,1,0,12,44
199,AMARDEEP INDUSTRIES,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,0,44
200,AMAR ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,26,31
201,AMAR ENGINEERING WORKS,0,0,0,0,0,1,0,9,0,0,215,0,0,1,0,0,0,226
202,AMARESHWAR AGRO INDUSTRIES,0,0,0,0,0,0,0,4,0,0,429,229,0,0,0,0,0,662
203,AMAR INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,11,1,0,9,0,0,0,21
204,AMARJEET HARVESTER INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,127
205,AMARNATH  AGRI,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,12
206,AMAR SHAKTI INDUSTRIES,0,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,0,67
207,AMAR TROLLY WORKS,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,43
208,AMBAL AUTOS,0,15,0,0,1,7,0,1,0,1,4,11,2,1,0,0,0,43
209,AMBARKAR INDUSTRIES,0,38,0,0,0,2,0,1,0,0,169,669,1,13,0,0,18,911
210,AMBAR TRAILOR,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
211,AMBAY AGRI INDUSTRIES,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
212,AMBAY ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
213,AMBERKAR TRAILERS,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,41
214,AMBEY AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32
215,AMBICA AGRO INDUSTRIES,0,0,0,0,0,3,0,0,0,0,514,152,0,43,1,0,0,713
216,AMBICA AUTO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
217,AMBICA ENGG STEEL,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
218,AMBICA ENGINEERING CO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
219,AMBICA ENG WORKS,0,0,0,0,0,0,0,2,2,0,230,103,0,3,0,0,0,340
220,AMBICA INDUSTRIES,0,2,0,0,0,7,0,1,1,0,185,126,0,3,7,0,0,332
221,AMBICA INDUSTRIES LTD,0,0,0,0,0,2,0,3,0,0,691,34,0,54,0,0,4,788
222,AMBICA IRON WORKS,0,0,0,0,0,0,0,0,0,0,237,2,0,53,2,0,0,294
223,AMBICA MACHINE TOOLS,0,0,0,0,0,0,0,1,0,0,230,2,0,28,1,0,0,262
224,AMBICA TRAILER WELD WORKS,0,0,0,0,0,0,0,0,0,0,279,0,0,9,0,0,0,288
225,AMBICA TROLLEY WORKS,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
226,AMBICA VIJAY ENG.WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
227,AMBICA WELDING WORKS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
228,AMBIKA ENTERPRISES,0,1,0,0,0,615,0,0,0,0,6,4,0,0,2,0,0,628
229,AMBIKA INDUSTRIES,0,1,0,0,0,"7,974",0,1,0,0,39,32,0,0,1,0,0,"8,048"
230,AMCIKA AGRO WORK,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,52
231,AMEEN ENGINEERING WORKS AP28884094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
232,AMENGG AMOL ENGG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
233,A M ENGINEERING WORKS,0,8,0,0,0,1,0,1,0,0,12,19,2,1,0,0,0,44
234,AMERICAN HONDA MOTOR CO,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8
235,AMERICAN ROAD TECHNOLOGY & SOLUTIONS PVT LTD,0,1,0,0,0,0,0,0,2,0,0,4,0,0,1,0,2,10
236,AMES TRAILER PARTS & SERVICE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
237,AMIDHARA TRAILOR,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,52
238,AMIN AUTO ANAND,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3
